614849,XETO,4.0
614849,XFOC,1.0
614849,RFOC,2.0
614850,E-CASE-F2525/12,25.0
614851,GLC-LH-SMD=,250.0
614851,037401Q2Z80003M,200.0
614852,050502Q5Z20015M,20.0
614853,IC16-RDO-M-BK-WR,3.0
614853,ICL-F-DUAL-RDO-M-BK-WR,3.0
614854,21-3690-00016,50.0
614855,EDGE-01U-SP,11.0
614855,ECM-UM12-05-93Q,40.0
614855,Z757548QLZ88U007M,2.0
614855,Z757524QLZ88U008M,1.0
614855,Z757524QLZ88U009M,1.0
614855,Z757524QLZ88U010M,1.0
614855,Z757524QLZ88U011M,1.0
614855,Z757524QLZ88U012M,1.0
614855,Z757524QLZ88U013M,1.0
614855,Z757524QLZ88U014M,1.0
614855,Z757524QLZ88U015M,1.0
614855,Z757548QLZ88U008M,2.0
614855,KAXCSV-02408-C001,10.0
614855,CCABDB-FI685-A070-C0,8.0
614855,CCABDB-Fi685-A080-C0,
614855,CCABDB-Fi685-A090-C0,4.0
614855,CCABDB-Fi685-A100-C0,4.0
614855,CCABDB-Fi685-A110-C0,4.0
614855,CCABDB-Fi685-A120-C0,4.0
614855,CCABDB-FI685-A130-C0,4.0
614855,CCABDB-FI685-A140-C0,4.0
614855,CCABDB-FI685-A150-C0,4.0
614856,CCXEDR-D0047-C003-L7,1.0
614856,HSP-60S100-1,4.0
614856,13-3790-00009,4.0
614856,000201G4Z31001.5M,170.0
614839,CHANNEL2X4,60.0
614839,50119,5000.0
614839,21-3690-00016,30.0
614839,21-3690-00017,30.0
614839,21-3690-00018,50.0
614839,21-3690-00019,50.0
614840,BELDEN 4000UE,5.0
614840,PMD-HT-0258,50.0
614840,PMD-HT-0287,50.0
614840,OC-13 -013-026-0005,300.0
614840,53-1103-00026,20.0
614840,21-3690-00016,50.0
614840,21-3690-00017,50.0
614840,21-3690-00018,50.0
614840,21-3690-00019,50.0
614840,OC-39 -039-012-0001,3000.0
614840,OC-13 -013-028-0005,3000.0
614840,50119,2000.0
614841,EFA/2,100.0
614842,CCXEDR-D0047-C003-L7,4.0
614842,GNA_F_00868657,36.0
