406	70028
405	70028
9644	70033
9685	70033
9653	70033
9654	70033
9655	70033
9649	70033
9671	70033
9577	70033
9674	70033
9627	70033
9680	70033
9642	70052
9656	70052
9665	70052
9669	70052
323	70034
9670	70033
9667	70033
9662	70033
9687	70033
9664	70033
9301	70033
9298	70033
9686	70033
9679	70033
9626	70040
9643	70040
9666	70040
9299	70040
9628	70043
9631	70043
9576	70052
9673	70052
74	70060
75	70060
76	70060
837	70060
838	70060
840	70060
841	70060
842	70060
843	70060
9684	70033
9300	70033
9694	70033
9698	70033
9697	70033
9682	70040
9683	70052
9675	70043
9660	70052
